entity_key,source_handle,dwg_type,source_layer,text,canonical_disposition,delivery_feature_count,delivery_layers,meaning,definition_entity_key,definition_retained_in_canonical_ledger,instance_parent_keys,all_instance_parents_retained_in_canonical_ledger,instance_parent_dispositions
12fd1624c74c578c43b3f65d5daf6239d0bc7d85c55084b8e38f8dbb747fdc9c,658F,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
132ff1c88bbd9909043d845945b1483ae07aefe4d435f83b70c3393ce5e860ae,69D9,LINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
134aa92c6d8a97696fbf0e13fa59e6a84a63a11ad0e44362f9dbd8ba82db7192,66EF,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
136dd5e11832ecb3a093b3ebaf76b4161efbcd798c564581df000168fa9c448e,1785,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
137c3f7ed8bd210f185367eb4648fa5d9bd1126d4456ed169695cc7a70e79069,5775,TEXT,FAT SP,1,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
137f6fa796a85d57accbc7a770648fd9d800f80f5d8028c2b1ae8951facd0adc,56C5,TEXT,FAT CODE,FAT A08,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
13848d0848e4a39e2bb3c3ee821da6a2628aed389fb3e9c5c225678899b7337b,15DE,MTEXT,HOMENUMBER,67,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
1389b21510f5ef990b184fb5277ca2c247eff671620622ed7279287af69ce01a,179C,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
13be51cf56a63174ca3aad6618d55fb224ca7768c86faad216845a8318701f33,683A,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
13d4a68345f10f7dedda0547240d654cc2b290f965168ada47c99de7b421199a,563B,CIRCLE,Service Core,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
13d8012a069113dd610e1c7b439aa225edd7e94a1f2242f9d66e3b9d75bdc210,694E,LINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
13fa822d41d4780e6dd87fdb4c5ae02c19c7d605bac3f0c37884ab9ef1ce0eb5,6712,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
14104b410c1eb4428011360f5caedf8a8a1c28f5a7b8c797f6e37ea9f8028551,16CF,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1431aa0277aa5ee5d4b7a1848ff0d3d51ca71af7e22dace77b9fdf0916f6fdb7,3935,TEXT,KMZ FAT,MSRG1-3.055.A10,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
1437f17216dd4c41800144b5e5f983135fb078290a42ba05ff0e7a2cdfe7f03e,64C5,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
14382e91e5b9db9e8fb008a95de6fd22e8701c0553e4cb8c5b176e5aa5b10a8c,680A,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
14a5b02aa0974edc1413d185396de3983071895850684e5f4a937855fdc28de9,165F,MTEXT,HOMENUMBER,196,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
14dcab6c927432ac7da69d3296439c7b38a3566c96f150bee4195da27f6eac0a,66B6,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
14e1fc50f44c2b5092f4056b8ea8c42b38f1eda44da661e4af3c3c1bbca5e26e,690C,LWPOLYLINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
14e4efdd8cd6d06e4e76c3dea1ea83de8cec35814f1ced78d073652d3b5894e0,65F2,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
